Survived,Pclass,Sex,Age,AgeGroup,FareType,Fare,ThirdClass
No,3,male,22,Between18and40,Standard,7.25,Yes
Yes,1,female,38,Between18and40,Expensive,71.2833,No
Yes,3,female,26,Between18and40,Standard,7.925,Yes
Yes,1,female,35,Between18and40,Expensive,53.1,No
No,3,male,35,Between18and40,Standard,8.05,Yes
No,3,male,27,Between18and40,Standard,8.4583,Yes
No,1,male,54,Over40,Expensive,51.8625,No
No,3,male,2,Under18,Expensive,21.075,Yes
Yes,3,female,27,Between18and40,Standard,11.1333,Yes
Yes,2,female,14,Under18,Expensive,30.0708,No
Yes,3,female,4,Under18,Standard,16.7,Yes
Yes,1,female,58,Over40,Expensive,26.55,No
No,3,male,20,Between18and40,Standard,8.05,Yes
No,3,male,39,Between18and40,Expensive,31.275,Yes
No,3,female,14,Under18,Standard,7.8542,Yes
Yes,2,female,55,Over40,Standard,16,No
No,3,male,2,Under18,Expensive,29.125,Yes
Yes,2,male,23,Between18and40,Standard,13,No
No,3,female,31,Between18and40,Standard,18,Yes
Yes,3,female,22,Between18and40,Standard,7.225,Yes
No,2,male,35,Between18and40,Expensive,26,No
Yes,2,male,34,Between18and40,Standard,13,No
Yes,3,female,15,Under18,Standard,8.0292,Yes
Yes,1,male,28,Between18and40,Expensive,35.5,No
No,3,female,8,Under18,Expensive,21.075,Yes
Yes,3,female,38,Between18and40,Expensive,31.3875,Yes
No,3,male,26,Between18and40,Standard,7.225,Yes
No,1,male,19,Between18and40,Expensive,263,No
Yes,3,female,24,Between18and40,Standard,7.8792,Yes
No,3,male,23,Between18and40,Standard,7.8958,Yes
No,1,male,40,Over40,Expensive,27.7208,No
Yes,1,female,48,Over40,Expensive,146.5208,No
Yes,3,female,18,Under18,Standard,7.75,Yes
No,2,male,66,Over40,Standard,10.5,No
No,1,male,28,Between18and40,Expensive,82.1708,No
No,1,male,42,Over40,Expensive,52,No
Yes,3,male,18,Under18,Standard,7.2292,Yes
No,3,male,21,Between18and40,Standard,8.05,Yes
No,3,female,18,Under18,Standard,18,Yes
Yes,3,female,14,Under18,Standard,11.2417,Yes
No,3,female,40,Over40,Standard,9.475,Yes
No,2,female,27,Between18and40,Expensive,21,No
Yes,2,female,3,Under18,Expensive,41.5792,No
Yes,3,female,19,Between18and40,Standard,7.8792,Yes
No,3,male,30,Between18and40,Standard,8.05,Yes
No,3,male,20,Between18and40,Standard,15.5,Yes
Yes,3,female,27,Between18and40,Standard,7.75,Yes
No,3,male,16,Under18,Expensive,21.6792,Yes
No,3,female,18,Under18,Standard,17.8,Yes
No,3,male,7,Under18,Expensive,39.6875,Yes
No,3,male,21,Between18and40,Standard,7.8,Yes
Yes,1,female,49,Over40,Expensive,76.7292,No
Yes,2,female,29,Between18and40,Expensive,26,No
No,1,male,65,Over40,Expensive,61.9792,No
Yes,1,male,46,Over40,Expensive,35.5,No
Yes,2,female,21,Between18and40,Standard,10.5,No
No,3,male,28.5,Between18and40,Standard,7.2292,Yes
Yes,2,female,5,Under18,Expensive,27.75,No
No,3,male,11,Under18,Expensive,46.9,Yes
No,3,male,22,Between18and40,Standard,7.2292,Yes
Yes,1,female,38,Between18and40,Expensive,80,No
No,1,male,45,Over40,Expensive,83.475,No
No,3,male,4,Under18,Expensive,27.9,Yes
No,1,male,64,Over40,Expensive,27.7208,No
Yes,3,male,7,Under18,Standard,15.2458,Yes
Yes,2,female,29,Between18and40,Standard,10.5,No
No,3,male,19,Between18and40,Standard,8.1583,Yes
Yes,3,female,17,Under18,Standard,7.925,Yes
No,3,male,26,Between18and40,Standard,8.6625,Yes
No,2,male,32,Between18and40,Standard,10.5,No
No,3,female,16,Under18,Expensive,46.9,Yes
No,2,male,21,Between18and40,Expensive,73.5,No
No,3,male,26,Between18and40,Standard,14.4542,Yes
Yes,3,male,32,Between18and40,Expensive,56.4958,Yes
No,3,male,25,Between18and40,Standard,7.65,Yes
No,3,male,23,Between18and40,Standard,7.8958,Yes
No,3,male,28,Between18and40,Standard,8.05,Yes
Yes,2,male,0.83,Under18,Expensive,29,No
Yes,3,female,30,Between18and40,Standard,12.475,Yes
No,3,male,22,Between18and40,Standard,9,Yes
Yes,3,male,29,Between18and40,Standard,9.5,Yes
Yes,3,female,31,Between18and40,Standard,7.7875,Yes
No,1,male,28,Between18and40,Expensive,47.1,No
Yes,2,female,17,Under18,Standard,10.5,No
Yes,3,female,33,Between18and40,Standard,15.85,Yes
No,3,male,16,Under18,Expensive,34.375,Yes
No,3,male,20,Between18and40,Standard,8.05,Yes
Yes,1,female,23,Between18and40,Expensive,263,No
No,3,male,24,Between18and40,Standard,8.05,Yes
No,3,male,29,Between18and40,Standard,8.05,Yes
No,3,male,20,Between18and40,Standard,7.8542,Yes
No,1,male,46,Over40,Expensive,61.175,No
No,3,male,26,Between18and40,Expensive,20.575,Yes
No,3,male,59,Over40,Standard,7.25,Yes
No,3,male,22,Between18and40,Standard,8.05,Yes
No,1,male,71,Over40,Expensive,34.6542,No
Yes,1,male,23,Between18and40,Expensive,63.3583,No
Yes,2,female,34,Between18and40,Expensive,23,No
No,2,male,34,Between18and40,Expensive,26,No
No,3,female,28,Between18and40,Standard,7.8958,Yes
No,3,male,29,Between18and40,Standard,7.8958,Yes
No,1,male,21,Between18and40,Expensive,77.2875,No
No,3,male,33,Between18and40,Standard,8.6542,Yes
No,3,male,37,Between18and40,Standard,7.925,Yes
No,3,male,28,Between18and40,Standard,7.8958,Yes
Yes,3,female,21,Between18and40,Standard,7.65,Yes
Yes,3,male,29,Between18and40,Standard,7.775,Yes
No,3,male,38,Between18and40,Standard,7.8958,Yes
Yes,3,female,28,Between18and40,Expensive,24.15,Yes
No,1,male,47,Over40,Expensive,52,No
No,3,female,14.5,Under18,Standard,14.4542,Yes
No,3,male,22,Between18and40,Standard,8.05,Yes
No,3,female,20,Between18and40,Standard,9.825,Yes
No,3,female,17,Under18,Standard,14.4583,Yes
No,3,male,21,Between18and40,Standard,7.925,Yes
No,3,male,70.5,Over40,Standard,7.75,Yes
No,2,male,29,Between18and40,Expensive,21,No
No,1,male,24,Between18and40,Expensive,247.5208,No
No,3,female,2,Under18,Expensive,31.275,Yes
No,2,male,21,Between18and40,Expensive,73.5,No
No,3,male,19,Between18and40,Standard,8.05,Yes
No,2,male,32.5,Between18and40,Expensive,30.0708,No
Yes,2,female,32.5,Between18and40,Standard,13,No
No,1,male,54,Over40,Expensive,77.2875,No
Yes,3,male,12,Under18,Standard,11.2417,Yes
No,3,male,19,Between18and40,Standard,7.75,Yes
Yes,3,male,24,Between18and40,Standard,7.1417,Yes
Yes,3,female,2,Under18,Expensive,22.3583,Yes
No,3,male,45,Over40,Standard,6.975,Yes
No,3,male,33,Between18and40,Standard,7.8958,Yes
No,3,male,20,Between18and40,Standard,7.05,Yes
No,3,female,47,Over40,Standard,14.5,Yes
Yes,2,female,29,Between18and40,Expensive,26,No
No,2,male,25,Between18and40,Standard,13,No
No,2,male,23,Between18and40,Standard,15.0458,No
Yes,1,female,19,Between18and40,Expensive,26.2833,No
No,1,male,37,Between18and40,Expensive,53.1,No
No,3,male,16,Under18,Standard,9.2167,Yes
No,1,male,24,Between18and40,Expensive,79.2,No
No,3,female,40,Over40,Standard,15.2458,Yes
Yes,3,female,22,Between18and40,Standard,7.75,Yes
Yes,3,female,24,Between18and40,Standard,15.85,Yes
No,3,male,19,Between18and40,Standard,6.75,Yes
No,2,male,18,Under18,Standard,11.5,No
No,2,male,19,Between18and40,Expensive,36.75,No
Yes,3,male,27,Between18and40,Standard,7.7958,Yes
No,3,female,9,Under18,Expensive,34.375,Yes
No,2,male,36.5,Between18and40,Expensive,26,No
No,2,male,42,Over40,Standard,13,No
No,2,male,51,Over40,Standard,12.525,No
Yes,1,female,22,Between18and40,Expensive,66.6,No
No,3,male,55.5,Over40,Standard,8.05,Yes
No,3,male,40.5,Over40,Standard,14.5,Yes
No,3,male,27,Between18and40,Standard,7.3125,Yes
No,1,male,51,Over40,Expensive,61.3792,No
Yes,3,female,16,Under18,Standard,7.7333,Yes
No,3,male,30,Between18and40,Standard,8.05,Yes
No,3,male,37,Between18and40,Standard,8.6625,Yes
No,3,male,5,Under18,Expensive,69.55,Yes
No,3,male,44,Over40,Standard,16.1,Yes
Yes,2,female,40,Over40,Standard,15.75,No
No,3,male,26,Between18and40,Standard,7.775,Yes
No,3,male,17,Under18,Standard,8.6625,Yes
No,3,male,1,Under18,Expensive,39.6875,Yes
Yes,3,male,9,Under18,Expensive,20.525,Yes
Yes,1,female,48,Over40,Expensive,55,No
No,3,female,45,Over40,Expensive,27.9,Yes
No,1,male,60,Over40,Expensive,25.925,No
No,3,male,28,Between18and40,Expensive,56.4958,Yes
No,1,male,61,Over40,Expensive,33.5,No
No,3,male,4,Under18,Expensive,29.125,Yes
Yes,3,female,1,Under18,Standard,11.1333,Yes
No,3,male,21,Between18and40,Standard,7.925,Yes
No,1,male,56,Over40,Expensive,30.6958,No
No,3,male,18,Under18,Standard,7.8542,Yes
No,3,male,5,Under18,Expensive,25.4667,Yes
No,1,female,50,Over40,Expensive,28.7125,No
No,2,male,30,Between18and40,Standard,13,No
No,3,male,36,Between18and40,Standard,0,Yes
No,3,female,8,Under18,Expensive,69.55,Yes
No,2,male,39,Between18and40,Standard,15.05,No
No,3,male,9,Under18,Expensive,31.3875,Yes
Yes,2,male,1,Under18,Expensive,39,No
Yes,3,female,4,Under18,Expensive,22.025,Yes
No,1,male,39,Between18and40,Expensive,50,No
Yes,3,female,26,Between18and40,Standard,15.5,Yes
Yes,1,male,45,Over40,Expensive,26.55,No
No,3,male,40,Over40,Standard,15.5,Yes
No,3,male,36,Between18and40,Standard,7.8958,Yes
Yes,2,female,32,Between18and40,Standard,13,No
No,2,male,19,Between18and40,Standard,13,No
Yes,3,female,19,Between18and40,Standard,7.8542,Yes
Yes,2,male,3,Under18,Expensive,26,No
Yes,1,female,44,Over40,Expensive,27.7208,No
Yes,1,female,58,Over40,Expensive,146.5208,No
No,3,male,28,Between18and40,Standard,7.75,Yes
No,3,male,42,Over40,Standard,8.4042,Yes
Yes,3,female,21,Between18and40,Standard,7.75,Yes
No,2,female,24,Between18and40,Standard,13,No
No,3,male,28,Between18and40,Standard,9.5,Yes
No,3,male,17,Under18,Expensive,69.55,Yes
No,3,male,34,Between18and40,Standard,6.4958,Yes
No,3,male,45.5,Over40,Standard,7.225,Yes
Yes,3,male,18,Under18,Standard,8.05,Yes
No,3,female,2,Under18,Standard,10.4625,Yes
No,3,male,32,Between18and40,Standard,15.85,Yes
Yes,3,male,26,Between18and40,Expensive,18.7875,Yes
Yes,3,female,16,Under18,Standard,7.75,Yes
Yes,1,male,40,Over40,Expensive,31,No
No,3,male,24,Between18and40,Standard,7.05,Yes
Yes,2,female,35,Between18and40,Expensive,21,No
No,3,male,22,Between18and40,Standard,7.25,Yes
No,2,male,30,Between18and40,Standard,13,No
No,3,male,22,Between18and40,Standard,7.75,Yes
Yes,1,female,31,Between18and40,Expensive,113.275,No
Yes,3,female,27,Between18and40,Standard,7.925,Yes
No,2,male,42,Over40,Expensive,27,No
Yes,1,female,32,Between18and40,Expensive,76.2917,No
No,2,male,30,Between18and40,Standard,10.5,No
Yes,3,male,16,Under18,Standard,8.05,Yes
No,2,male,27,Between18and40,Standard,13,No
No,3,male,51,Over40,Standard,8.05,Yes
No,3,male,22,Between18and40,Standard,7.8958,Yes
Yes,1,male,38,Between18and40,Expensive,90,No
No,3,male,22,Between18and40,Standard,9.35,Yes
Yes,2,male,19,Between18and40,Standard,10.5,No
No,3,male,20.5,Between18and40,Standard,7.25,Yes
No,2,male,18,Under18,Standard,13,No
No,3,female,12,Under18,Expensive,25.4667,Yes
Yes,1,female,35,Between18and40,Expensive,83.475,No
No,3,male,29,Between18and40,Standard,7.775,Yes
No,2,male,59,Over40,Standard,13.5,No
Yes,3,female,5,Under18,Expensive,31.3875,Yes
No,2,male,24,Between18and40,Standard,10.5,No
No,3,female,21,Between18and40,Standard,7.55,Yes
No,2,male,44,Over40,Expensive,26,No
Yes,2,female,8,Under18,Expensive,26.25,No
No,2,male,19,Between18and40,Standard,10.5,No
No,2,male,33,Between18and40,Standard,12.275,No
No,3,female,19,Between18and40,Standard,14.4542,Yes
Yes,3,female,18,Under18,Standard,15.5,Yes
No,2,male,29,Between18and40,Standard,10.5,No
No,3,male,22,Between18and40,Standard,7.125,Yes
No,3,male,30,Between18and40,Standard,7.225,Yes
No,1,male,44,Over40,Expensive,90,No
No,3,female,25,Between18and40,Standard,7.775,Yes
Yes,2,female,24,Between18and40,Standard,14.5,No
Yes,1,male,37,Between18and40,Expensive,52.5542,No
No,2,male,54,Over40,Expensive,26,No
No,3,male,18,Under18,Standard,7.25,Yes
No,3,female,29,Between18and40,Standard,10.4625,Yes
No,1,male,62,Over40,Expensive,26.55,No
No,3,male,30,Between18and40,Standard,16.1,Yes
No,3,female,41,Over40,Expensive,20.2125,Yes
Yes,3,female,29,Between18and40,Standard,15.2458,Yes
Yes,1,female,38,Between18and40,Expensive,79.2,No
Yes,1,female,30,Between18and40,Expensive,86.5,No
Yes,1,female,35,Between18and40,Expensive,512.3292,No
Yes,2,female,50,Over40,Expensive,26,No
Yes,3,male,3,Under18,Expensive,31.3875,Yes
No,1,male,52,Over40,Expensive,79.65,No
No,1,male,40,Over40,Standard,0,No
No,3,female,21,Between18and40,Standard,7.75,Yes
No,2,male,36,Between18and40,Standard,10.5,No
No,3,male,16,Under18,Expensive,39.6875,Yes
Yes,3,male,25,Between18and40,Standard,7.775,Yes
Yes,1,female,58,Over40,Expensive,153.4625,No
Yes,1,female,35,Between18and40,Expensive,135.6333,No
No,1,male,28,Between18and40,Expensive,31,No
Yes,3,male,25,Between18and40,Standard,0,Yes
Yes,2,female,41,Over40,Expensive,19.5,No
No,1,male,37,Between18and40,Expensive,29.7,No
Yes,3,female,33,Between18and40,Standard,7.75,Yes
Yes,1,female,63,Over40,Expensive,77.9583,No
No,3,female,45,Over40,Standard,7.75,Yes
No,2,male,21,Between18and40,Standard,0,No
No,3,male,7,Under18,Expensive,29.125,Yes
Yes,3,female,35,Between18and40,Expensive,20.25,Yes
No,3,male,65,Over40,Standard,7.75,Yes
No,3,male,28,Between18and40,Standard,7.8542,Yes
No,3,male,16,Under18,Standard,9.5,Yes
Yes,3,male,19,Between18and40,Standard,8.05,Yes
No,1,male,57,Over40,Expensive,26,No
No,3,male,33,Between18and40,Standard,8.6625,Yes
Yes,3,male,30,Between18and40,Standard,9.5,Yes
No,3,male,22,Between18and40,Standard,7.8958,Yes
Yes,2,male,42,Over40,Standard,13,No
Yes,3,female,22,Between18and40,Standard,7.75,Yes
Yes,1,female,26,Between18and40,Expensive,78.85,No
Yes,1,female,19,Between18and40,Expensive,91.0792,No
No,2,male,36,Between18and40,Standard,12.875,No
No,3,female,24,Between18and40,Standard,8.85,Yes
No,3,male,24,Between18and40,Standard,7.8958,Yes
No,1,male,30,Between18and40,Expensive,27.7208,No
No,3,male,23.5,Between18and40,Standard,7.2292,Yes
No,1,female,2,Under18,Expensive,151.55,No
Yes,1,male,47,Over40,Expensive,30.5,No
Yes,1,female,50,Over40,Expensive,247.5208,No
Yes,3,female,20,Between18and40,Standard,7.75,Yes
Yes,3,male,24,Between18and40,Expensive,23.25,Yes
No,3,male,19,Between18and40,Standard,0,Yes
Yes,2,female,46,Over40,Standard,12.35,No
No,3,male,28,Between18and40,Standard,8.05,Yes
Yes,1,male,0.92,Under18,Expensive,151.55,No
Yes,1,female,42,Over40,Expensive,110.8833,No
Yes,1,female,17,Under18,Expensive,108.9,No
No,2,male,30,Between18and40,Expensive,24,No
Yes,1,female,30,Between18and40,Expensive,56.9292,No
Yes,1,female,24,Between18and40,Expensive,83.1583,No
Yes,1,female,18,Under18,Expensive,262.375,No
No,2,female,26,Between18and40,Expensive,26,No
No,3,male,28,Between18and40,Standard,7.8958,Yes
No,2,male,43,Over40,Expensive,26.25,No
Yes,3,female,26,Between18and40,Standard,7.8542,Yes
Yes,2,female,24,Between18and40,Expensive,26,No
No,2,male,54,Over40,Standard,14,No
Yes,1,female,31,Between18and40,Expensive,164.8667,No
Yes,1,female,40,Over40,Expensive,134.5,No
No,3,male,22,Between18and40,Standard,7.25,Yes
No,3,male,27,Between18and40,Standard,7.8958,Yes
Yes,2,female,30,Between18and40,Standard,12.35,No
Yes,2,female,22,Between18and40,Expensive,29,No
No,3,male,20,Between18and40,Expensive,69.55,Yes
Yes,1,female,36,Between18and40,Expensive,135.6333,No
No,3,male,61,Over40,Standard,6.2375,Yes
Yes,2,female,36,Between18and40,Standard,13,No
Yes,3,female,31,Between18and40,Expensive,20.525,Yes
Yes,1,female,16,Under18,Expensive,57.9792,No
Yes,3,female,28,Between18and40,Expensive,23.25,Yes
No,1,male,45.5,Over40,Expensive,28.5,No
No,1,male,38,Between18and40,Expensive,153.4625,No
No,3,male,16,Under18,Standard,18,Yes
Yes,1,female,42,Over40,Expensive,133.65,No
No,3,male,30,Between18and40,Standard,7.8958,Yes
No,1,male,29,Between18and40,Expensive,66.6,No
Yes,1,female,41,Over40,Expensive,134.5,No
Yes,3,male,45,Over40,Standard,8.05,Yes
No,1,male,45,Over40,Expensive,35.5,No
Yes,2,male,2,Under18,Expensive,26,No
Yes,1,female,24,Between18and40,Expensive,263,No
No,2,male,28,Between18and40,Standard,13,No
No,2,male,25,Between18and40,Standard,13,No
No,2,male,36,Between18and40,Standard,13,No
Yes,2,female,24,Between18and40,Standard,13,No
Yes,2,female,40,Over40,Standard,13,No
Yes,3,female,34,Between18and40,Standard,16.1,Yes
Yes,3,male,3,Under18,Standard,15.9,Yes
No,3,male,42,Over40,Standard,8.6625,Yes
No,3,male,23,Between18and40,Standard,9.225,Yes
No,1,male,43,Over40,Expensive,35,No
No,3,male,15,Under18,Standard,7.2292,Yes
No,3,male,25,Between18and40,Standard,17.8,Yes
No,3,male,23,Between18and40,Standard,7.225,Yes
No,3,male,28,Between18and40,Standard,9.5,Yes
Yes,1,female,22,Between18and40,Expensive,55,No
No,2,female,38,Between18and40,Standard,13,No
Yes,3,female,22,Between18and40,Standard,7.8792,Yes
Yes,3,female,23,Between18and40,Standard,7.8792,Yes
No,3,male,40,Over40,Expensive,27.9,Yes
No,2,male,29,Between18and40,Expensive,27.7208,No
No,3,female,45,Over40,Standard,14.4542,Yes
No,3,male,35,Between18and40,Standard,7.05,Yes
No,3,male,27,Between18and40,Standard,15.5,Yes
No,3,male,30,Between18and40,Standard,7.25,Yes
Yes,1,female,60,Over40,Expensive,75.25,No
Yes,3,female,35,Between18and40,Standard,7.2292,Yes
Yes,3,female,22,Between18and40,Standard,7.75,Yes
Yes,1,female,24,Between18and40,Expensive,69.3,No
Yes,1,male,25,Between18and40,Expensive,55.4417,No
No,3,male,18,Under18,Standard,6.4958,Yes
No,3,male,19,Between18and40,Standard,8.05,Yes
No,1,male,22,Between18and40,Expensive,135.6333,No
No,3,female,3,Under18,Expensive,21.075,Yes
Yes,1,female,25,Between18and40,Expensive,82.1708,No
Yes,3,female,22,Between18and40,Standard,7.25,Yes
No,1,male,27,Between18and40,Expensive,211.5,No
No,3,male,20,Between18and40,Standard,4.0125,Yes
No,3,male,19,Between18and40,Standard,7.775,Yes
Yes,1,female,42,Over40,Expensive,227.525,No
Yes,3,female,1,Under18,Standard,15.7417,Yes
No,3,male,32,Between18and40,Standard,7.925,Yes
Yes,1,female,35,Between18and40,Expensive,52,No
No,3,male,27,Between18and40,Standard,7.8958,Yes
No,2,male,18,Under18,Expensive,73.5,No
No,3,male,1,Under18,Expensive,46.9,Yes
Yes,2,female,36,Between18and40,Standard,13,No
No,3,male,19,Between18and40,Standard,7.7292,Yes
Yes,2,female,17,Under18,Standard,12,No
Yes,1,male,36,Between18and40,Expensive,120,No
Yes,3,male,21,Between18and40,Standard,7.7958,Yes
No,3,male,28,Between18and40,Standard,7.925,Yes
Yes,1,female,23,Between18and40,Expensive,113.275,No
Yes,3,female,24,Between18and40,Standard,16.7,Yes
No,3,male,22,Between18and40,Standard,7.7958,Yes
No,3,female,31,Between18and40,Standard,7.8542,Yes
No,2,male,46,Over40,Expensive,26,No
No,2,male,23,Between18and40,Standard,10.5,No
Yes,2,female,28,Between18and40,Standard,12.65,No
Yes,3,male,39,Between18and40,Standard,7.925,Yes
No,3,male,26,Between18and40,Standard,8.05,Yes
No,3,female,21,Between18and40,Standard,9.825,Yes
No,3,male,28,Between18and40,Standard,15.85,Yes
No,3,female,20,Between18and40,Standard,8.6625,Yes
No,2,male,34,Between18and40,Expensive,21,No
No,3,male,51,Over40,Standard,7.75,Yes
Yes,2,male,3,Under18,Expensive,18.75,No
No,3,male,21,Between18and40,Standard,7.775,Yes
No,3,female,3,Under18,Expensive,25.4667,Yes
No,3,male,42,Over40,Standard,7.8958,Yes
No,3,male,27,Between18and40,Standard,6.8583,Yes
Yes,1,female,33,Between18and40,Expensive,90,No
No,2,male,22,Between18and40,Standard,0,No
Yes,3,male,44,Over40,Standard,7.925,Yes
No,3,female,32,Between18and40,Standard,8.05,Yes
Yes,2,female,34,Between18and40,Expensive,32.5,No
Yes,2,female,18,Under18,Standard,13,No
No,2,male,30,Between18and40,Standard,13,No
No,3,female,10,Under18,Expensive,24.15,Yes
No,3,male,21,Between18and40,Standard,7.7333,Yes
No,3,male,29,Between18and40,Standard,7.875,Yes
No,3,female,28,Between18and40,Standard,14.4,Yes
No,3,male,18,Under18,Expensive,20.2125,Yes
No,3,male,54,Over40,Standard,7.25,Yes
Yes,2,female,28,Between18and40,Expensive,26,No
Yes,2,female,19,Between18and40,Expensive,26,No
No,3,male,28,Between18and40,Standard,7.75,Yes
Yes,3,male,32,Between18and40,Standard,8.05,Yes
Yes,1,male,28,Between18and40,Expensive,26.55,No
Yes,3,female,33,Between18and40,Standard,16.1,Yes
Yes,2,female,42,Over40,Expensive,26,No
No,3,male,17,Under18,Standard,7.125,Yes
No,1,male,50,Over40,Expensive,55.9,No
Yes,1,female,14,Under18,Expensive,120,No
No,3,female,21,Between18and40,Expensive,34.375,Yes
Yes,2,female,24,Between18and40,Expensive,18.75,No
No,1,male,64,Over40,Expensive,263,No
No,2,male,31,Between18and40,Standard,10.5,No
Yes,2,female,45,Over40,Expensive,26.25,No
No,3,male,20,Between18and40,Standard,9.5,Yes
No,3,male,25,Between18and40,Standard,7.775,Yes
Yes,2,female,28,Between18and40,Standard,13,No
